size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
20,0,13,0,0,7,27,20,3,30,13,4,Safe Situation
20,1,10,0,0,10,35,15,9,21,11,3,Safe Situation
20,2,14,0,0,6,36,10,11,23,7,3,Safety Critical Decision
20,3,10,0,0,10,32,18,5,25,11,3,Safe Situation
20,4,11,0,0,9,49,0,4,27,11,4,Safe Situation
20,5,9,0,0,11,34,17,10,19,13,4,Safety Critical Decision
20,6,15,0,0,5,41,4,21,14,9,4,Safe Situation
20,7,12,0,0,8,48,0,18,14,9,4,Safe Situation
20,8,11,0,0,9,37,12,6,25,13,4,Safe Situation
20,9,11,0,0,9,47,2,7,24,9,4,Safe Situation
20,10,9,0,0,11,31,20,2,27,13,4,Safe Situation
20,11,9,0,0,11,43,8,0,29,11,3,Safe Situation
20,12,11,0,0,9,44,5,4,27,7,3,Safe Situation
20,13,13,0,0,7,36,11,8,25,15,4,Safe Situation
20,14,14,0,0,6,32,14,6,28,11,3,Familiar Situation
20,15,14,0,0,6,41,5,11,23,9,3,Asked Before
20,16,15,0,0,5,37,8,14,21,13,3,Safe Situation
20,17,14,0,0,6,38,8,11,23,7,3,Safe Situation
20,18,10,0,0,10,44,6,3,27,15,4,Safe Situation
20,19,13,0,0,7,37,10,11,22,7,3,Safety Critical Decision
20,20,13,0,0,7,37,10,9,24,7,3,Safe Situation
20,21,14,0,0,6,37,9,7,27,13,4,Safe Situation
20,22,9,0,0,11,38,13,3,26,15,5,Safe Situation
20,23,12,0,0,8,46,2,7,25,9,4,Safe Situation
20,24,12,0,0,8,45,3,6,26,9,3,Safety Critical Decision
20,25,13,0,0,7,46,1,7,26,17,5,Safe Situation
20,26,11,0,0,9,46,3,9,22,11,4,Safe Situation
20,27,10,0,0,10,42,8,10,20,11,4,Safe Situation
20,28,13,0,0,7,47,0,4,29,11,4,Safe Situation
20,29,9,0,0,11,46,5,3,26,13,4,Safe Situation
20,30,10,0,0,10,38,12,7,23,11,3,Safe Situation
20,31,13,0,0,7,43,4,20,13,5,2,Familiar Situation
20,32,11,0,0,9,40,9,0,31,11,3,Safe Situation
20,33,14,0,0,6,41,5,11,23,9,4,Safety Critical Decision
20,34,11,0,0,9,41,8,11,20,7,3,Safe Situation
20,35,10,0,0,10,40,10,9,21,13,4,Familiar Situation
20,36,14,0,0,6,38,8,6,28,13,4,Safe Situation
20,37,11,0,0,9,44,5,3,28,13,4,Safety Critical Decision
20,38,15,0,0,5,39,6,23,12,9,4,Safety Critical Decision
20,39,10,0,0,10,42,8,4,26,13,4,Safety Critical Decision
20,40,16,0,0,4,33,11,10,26,7,3,Safe Situation
20,41,14,0,0,6,40,6,10,24,11,5,Safe Situation
20,42,12,0,0,8,40,8,8,24,7,3,Safe Situation
20,43,15,0,0,5,37,8,11,24,7,3,Safe Situation
20,44,10,0,0,10,32,18,6,24,13,4,Asked Before
20,45,10,0,0,10,41,9,6,24,13,4,Safe Situation
20,46,11,0,0,9,44,5,4,27,7,3,Safe Situation
20,47,10,0,0,10,42,8,0,30,11,3,Safe Situation
20,48,15,0,0,5,39,6,14,21,9,4,Safe Situation
20,49,11,0,0,9,44,5,4,27,13,4,Safe Situation
