size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
10,0,5,0,0,5,46,9,7,28,7,3,Safe Situation
10,1,7,0,0,3,48,5,4,33,7,3,Safe Situation
10,2,4,0,0,6,27,29,6,28,7,3,Familiar Situation
10,3,5,0,0,5,34,21,14,21,3,1,Familiar Situation
10,4,5,0,0,5,44,11,12,23,7,3,Safe Situation
10,5,7,0,0,3,40,13,24,13,9,3,Familiar Situation
10,6,6,0,0,4,39,15,20,16,7,3,Familiar Situation
10,7,6,0,0,4,43,11,14,22,7,3,Asked Before
10,8,6,0,0,4,40,14,16,20,9,4,Safety Critical Decision
10,9,2,0,0,8,42,16,4,28,3,1,Safe Situation
10,10,7,0,0,3,43,10,11,26,7,3,Safety Critical Decision
10,11,7,0,0,3,22,31,6,31,7,3,Safety Critical Decision
10,12,7,0,0,3,41,12,11,26,7,3,Safety Critical Decision
10,13,4,0,0,6,26,30,7,27,9,3,Familiar Situation
10,14,6,0,0,4,39,15,22,14,7,3,Long Delay
10,15,6,0,0,4,46,8,20,16,9,4,Familiar Situation
10,16,6,0,0,4,50,4,20,16,5,2,Asked Before
10,17,8,0,0,2,44,8,20,18,9,4,Familiar Situation
10,18,5,0,0,5,45,10,10,25,7,3,Safe Situation
10,19,6,0,0,4,48,6,11,25,13,6,Safety Critical Decision
10,20,8,0,0,2,46,6,20,18,5,2,Safe Situation
10,21,6,0,0,4,17,37,6,30,7,3,Asked Before
10,22,4,0,0,6,51,5,4,30,7,3,Safe Situation
10,23,7,0,0,3,45,8,25,12,9,4,Confident
10,24,7,0,0,3,47,6,29,8,9,4,Confident
10,25,5,0,0,5,34,21,14,21,3,1,Familiar Situation
10,26,6,0,0,4,39,15,20,16,7,3,Familiar Situation
10,27,6,0,0,4,49,5,18,18,9,4,Familiar Situation
10,28,3,0,0,7,34,23,3,30,7,3,Safe Situation
10,29,7,0,0,3,45,8,14,23,9,3,Asked Before
10,30,7,0,0,3,43,10,14,23,9,4,Safe Situation
10,31,7,0,0,3,48,5,18,19,5,2,Familiar Situation
10,32,5,0,0,5,50,5,18,17,5,2,Safe Situation
10,33,7,0,0,3,53,0,25,12,7,3,Safety Critical Decision
10,34,4,0,0,6,40,16,4,30,3,1,Safe Situation
10,35,4,0,0,6,32,24,3,31,7,3,Safe Situation
10,36,8,0,0,2,50,2,14,24,5,2,Safe Situation
10,37,6,0,0,4,23,31,8,28,9,3,Safe Situation
10,38,6,0,0,4,35,19,12,24,11,5,Safety Critical Decision
10,39,6,0,0,4,19,35,7,29,9,4,Confident
10,40,5,0,0,5,27,28,1,34,7,3,Safety Critical Decision
10,41,9,0,0,1,30,21,14,25,3,1,Familiar Situation
10,42,6,0,0,4,46,8,8,28,7,3,Safe Situation
10,43,5,0,0,5,43,12,13,22,7,3,Safety Critical Decision
10,44,5,0,0,5,50,5,4,31,7,3,Safe Situation
10,45,7,0,0,3,53,0,25,12,7,3,Safe Situation
10,46,8,0,0,2,39,13,27,11,5,2,Familiar Situation
10,47,7,0,0,3,51,2,14,23,5,2,Safety Critical Decision
10,48,5,0,0,5,39,16,20,15,7,3,Familiar Situation
10,49,8,0,0,2,40,12,25,13,5,2,Confident
