size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
60,0,30,0,0,30,29,1,1,9,23,5,Safe Situation
60,1,37,0,0,23,22,1,3,14,29,6,Safe Situation
60,2,38,0,0,22,22,0,1,17,25,6,Safe Situation
60,3,38,0,0,22,19,3,2,16,21,5,Safe Situation
60,4,38,0,0,22,22,0,0,18,17,4,Safe Situation
60,5,33,0,0,27,25,2,0,13,17,5,Safe Situation
60,6,33,0,0,27,24,3,2,11,19,5,Safe Situation
60,7,34,0,0,26,23,3,1,13,17,5,Safe Situation
60,8,36,0,0,24,24,0,0,16,23,5,Safe Situation
60,9,34,0,0,26,26,0,0,14,23,5,Safe Situation
60,10,38,0,0,22,20,2,0,18,17,5,Safe Situation
60,11,36,0,0,24,23,1,1,15,23,5,Safe Situation
60,12,36,0,0,24,24,0,0,16,25,6,Safe Situation
60,13,36,0,0,24,24,0,0,16,23,5,Safe Situation
60,14,34,0,0,26,23,3,1,13,17,5,Safe Situation
60,15,35,0,0,25,23,2,3,12,17,5,Safe Situation
60,16,32,0,0,28,28,0,4,8,21,5,Safe Situation
60,17,37,0,0,23,23,0,2,15,23,5,Safe Situation
60,18,34,0,0,26,26,0,0,14,23,5,Safe Situation
60,19,36,0,0,24,19,5,3,13,19,5,Safe Situation
60,20,38,0,0,22,22,0,0,18,23,5,Safe Situation
60,21,36,0,0,24,22,2,0,16,17,5,Safe Situation
60,22,32,0,0,28,28,0,0,12,23,5,Safe Situation
60,23,37,0,0,23,23,0,2,15,23,5,Safe Situation
60,24,31,0,0,29,29,0,2,9,23,5,Safe Situation
60,25,35,0,0,25,25,0,0,15,17,4,Safe Situation
60,26,40,0,0,20,20,0,5,15,25,6,Safe Situation
60,27,35,0,0,25,22,3,0,15,19,5,Safe Situation
60,28,37,0,0,23,23,0,0,17,23,5,Safe Situation
60,29,35,0,0,25,22,3,1,14,21,5,Safe Situation
60,30,33,0,0,27,25,2,0,13,17,5,Safe Situation
60,31,38,0,0,22,19,3,0,18,21,7,Safe Situation
60,32,32,0,0,28,28,0,0,12,25,6,Safe Situation
60,33,36,0,0,24,23,1,3,13,23,5,Safe Situation
60,34,36,0,0,24,22,2,3,13,19,6,Safe Situation
60,35,41,0,0,19,18,1,5,16,25,6,Safe Situation
60,36,37,0,0,23,23,0,5,12,25,6,Safe Situation
60,37,35,0,0,25,23,2,1,14,25,5,Safe Situation
60,38,38,0,0,22,21,1,6,12,21,5,Safe Situation
60,39,35,0,0,25,22,3,0,15,21,5,Safe Situation
60,40,35,0,0,25,22,3,1,14,23,5,Safe Situation
60,41,38,0,0,22,19,3,3,15,17,5,Safe Situation
60,42,36,0,0,24,21,3,4,12,27,7,Safe Situation
60,43,34,0,0,26,26,0,2,12,23,5,Safe Situation
60,44,41,0,0,19,19,0,8,13,21,5,Safe Situation
60,45,32,0,0,28,26,2,2,10,23,5,Safe Situation
60,46,38,0,0,22,22,0,7,11,15,5,Safe Situation
60,47,36,0,0,24,24,0,3,13,21,5,Safe Situation
60,48,37,0,0,23,23,0,1,16,25,6,Safe Situation
60,49,38,0,0,22,22,0,5,13,23,5,Safe Situation
