size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
90,0,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,1,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,2,55,0,0,35,5,0,3,2,21,5,Safe Situation
90,3,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,4,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,5,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,6,52,0,0,38,8,0,0,2,23,5,Safe Situation
90,7,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,8,55,0,0,35,5,0,0,5,25,6,Safe Situation
90,9,53,0,0,37,7,0,0,3,25,6,Safe Situation
90,10,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,11,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,12,53,0,0,37,7,0,1,2,25,6,Safe Situation
90,13,53,0,0,37,7,0,2,1,23,5,Safe Situation
90,14,52,0,0,38,8,0,0,2,23,5,Safe Situation
90,15,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,16,51,0,0,39,9,0,0,1,23,5,Safe Situation
90,17,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,18,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,19,55,0,0,35,5,0,0,5,25,6,Safe Situation
90,20,56,0,0,34,4,0,0,6,25,6,Safe Situation
90,21,55,0,0,35,5,0,1,4,23,5,Safe Situation
90,22,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,23,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,24,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,25,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,26,53,0,0,37,7,0,1,2,25,6,Safe Situation
90,27,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,28,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,29,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,30,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,31,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,32,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,33,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,34,57,0,0,33,3,0,0,7,23,5,Safe Situation
90,35,57,0,0,33,3,0,2,5,23,5,Safe Situation
90,36,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,37,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,38,52,0,0,38,8,0,0,2,25,6,Safe Situation
90,39,54,0,0,36,6,0,0,4,23,5,Safe Situation
90,40,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,41,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,42,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,43,53,0,0,37,7,0,0,3,23,5,Safe Situation
90,44,52,0,0,38,5,3,1,1,17,5,Safe Situation
90,45,55,0,0,35,5,0,0,5,23,5,Safe Situation
90,46,52,0,0,38,8,0,0,2,23,5,Safe Situation
90,47,56,0,0,34,4,0,1,5,23,5,Safe Situation
90,48,52,0,0,38,8,0,0,2,23,5,Safe Situation
90,49,53,0,0,37,7,0,0,3,23,5,Safe Situation
