size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
50,0,29,0,0,21,31,0,0,19,23,5,Safe Situation
50,1,24,0,0,26,36,0,3,11,21,5,Safe Situation
50,2,29,0,0,21,28,3,5,14,19,5,Safe Situation
50,3,31,0,0,19,27,2,3,18,19,6,Safe Situation
50,4,32,0,0,18,28,0,7,15,15,5,Safe Situation
50,5,31,0,0,19,29,0,2,19,23,5,Safe Situation
50,6,30,0,0,20,27,3,0,20,21,5,Safe Situation
50,7,32,0,0,18,24,4,6,16,19,5,Safe Situation
50,8,28,0,0,22,32,0,1,17,23,5,Safe Situation
50,9,31,0,0,19,29,0,4,17,23,6,Safe Situation
50,10,26,0,0,24,34,0,0,16,17,4,Safe Situation
50,11,30,0,0,20,26,4,4,16,17,5,Safe Situation
50,12,31,0,0,19,27,2,0,21,17,5,Safe Situation
50,13,29,0,0,21,27,4,3,16,23,5,Safe Situation
50,14,27,0,0,23,31,2,3,14,23,5,Safe Situation
50,15,28,0,0,22,29,3,0,18,19,5,Safe Situation
50,16,31,0,0,19,29,0,0,21,23,5,Safe Situation
50,17,27,0,0,23,30,3,3,14,21,5,Safe Situation
50,18,33,0,0,17,23,4,6,17,19,5,Safe Situation
50,19,28,0,0,22,27,5,0,18,13,4,Safe Situation
50,20,29,0,0,21,25,6,3,16,23,5,Safe Situation
50,21,28,0,0,22,32,0,10,8,15,5,Safe Situation
50,22,34,0,0,16,23,3,7,17,21,5,Safe Situation
50,23,27,0,0,23,33,0,0,17,17,4,Safe Situation
50,24,29,0,0,21,29,2,6,13,23,5,Safe Situation
50,25,32,0,0,18,26,2,5,17,23,5,Safe Situation
50,26,28,0,0,22,30,2,3,15,15,4,Safe Situation
50,27,29,0,0,21,29,2,0,19,17,5,Safe Situation
50,28,32,0,0,18,27,1,1,21,23,5,Safe Situation
50,29,25,0,0,25,27,8,1,14,15,5,Safe Situation
50,30,25,0,0,25,35,0,0,15,23,5,Safe Situation
50,31,29,0,0,21,29,2,0,19,17,5,Safe Situation
50,32,30,0,0,20,27,3,1,19,21,5,Safe Situation
50,33,30,0,0,20,24,6,0,20,17,5,Safe Situation
50,34,35,0,0,15,21,4,4,21,19,5,Safe Situation
50,35,27,0,0,23,28,5,1,16,19,5,Safe Situation
50,36,31,0,0,19,23,6,8,13,21,5,Safe Situation
50,37,31,0,0,19,29,0,3,18,23,5,Safe Situation
50,38,31,0,0,19,28,1,6,15,21,5,Safe Situation
50,39,32,0,0,18,26,2,4,18,23,5,Safe Situation
50,40,31,0,0,19,26,3,3,18,19,5,Safe Situation
50,41,29,0,0,21,29,2,3,16,23,5,Safe Situation
50,42,35,0,0,15,24,1,13,12,23,6,Safe Situation
50,43,29,0,0,21,26,5,0,19,15,5,Safe Situation
50,44,33,0,0,17,24,3,3,20,17,5,Safe Situation
50,45,30,0,0,20,29,1,1,19,23,5,Safe Situation
50,46,30,0,0,20,27,3,6,14,17,4,Safe Situation
50,47,25,0,0,25,31,4,0,15,17,5,Safe Situation
50,48,29,0,0,21,28,3,0,19,19,5,Safe Situation
50,49,33,0,0,17,22,5,3,20,19,5,Safe Situation
