size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
30,0,19,0,0,11,37,4,4,25,11,5,Safe Situation
30,1,14,0,0,16,34,12,4,20,13,4,Safe Situation
30,2,17,0,0,13,37,6,6,21,23,5,Safe Situation
30,3,14,0,0,16,34,12,8,16,23,5,Safe Situation
30,4,21,0,0,9,37,2,7,24,19,5,Safe Situation
30,5,17,0,0,13,31,12,5,22,11,5,Safe Situation
30,6,19,0,0,11,35,6,3,26,13,4,Safe Situation
30,7,15,0,0,15,39,6,3,22,15,4,Safe Situation
30,8,15,0,0,15,34,11,2,23,19,6,Safe Situation
30,9,19,0,0,11,34,7,0,29,17,6,Safe Situation
30,10,19,0,0,11,31,10,5,24,19,5,Safe Situation
30,11,20,0,0,10,35,5,10,20,21,5,In a hurry
30,12,14,0,0,16,37,9,0,24,11,3,Safe Situation
30,13,17,0,0,13,40,3,0,27,21,5,Safe Situation
30,14,15,0,0,15,36,9,6,19,15,4,Safety Critical Decision
30,15,18,0,0,12,42,0,8,20,21,5,Safe Situation
30,16,14,0,0,16,37,9,0,24,11,3,Safe Situation
30,17,19,0,0,11,31,10,3,26,15,5,Safety Critical Decision
30,18,18,0,0,12,31,11,7,21,13,4,Safe Situation
30,19,18,0,0,12,38,4,5,23,17,5,Safe Situation
30,20,22,0,0,8,36,2,8,24,9,4,Safe Situation
30,21,19,0,0,11,30,11,4,25,17,5,Safe Situation
30,22,20,0,0,10,33,7,15,15,17,4,Safe Situation
30,23,16,0,0,14,41,3,6,20,11,5,Safe Situation
30,24,19,0,0,11,35,6,5,24,15,4,Safe Situation
30,25,22,0,0,8,31,7,8,24,17,4,Safety Critical Decision
30,26,17,0,0,13,40,3,1,26,17,5,Safe Situation
30,27,18,0,0,12,40,2,4,24,11,5,Safe Situation
30,28,20,0,0,10,40,0,20,10,9,4,Safe Situation
30,29,19,0,0,11,38,3,8,21,9,4,Safe Situation
30,30,17,0,0,13,41,2,3,24,15,4,Safe Situation
30,31,21,0,0,9,34,5,3,28,13,4,Safety Critical Decision
30,32,18,0,0,12,37,5,12,16,19,4,Safe Situation
30,33,17,0,0,13,34,9,0,27,17,5,Safe Situation
30,34,17,0,0,13,34,9,4,23,13,4,Safety Critical Decision
30,35,17,0,0,13,38,5,0,27,13,4,Safe Situation
30,36,21,0,0,9,36,3,11,20,9,4,Safe Situation
30,37,15,0,0,15,40,5,4,21,13,4,Familiar Situation
30,38,19,0,0,11,32,9,3,26,17,5,Safe Situation
30,39,21,0,0,9,34,5,6,25,17,4,Safe Situation
30,40,16,0,0,14,38,6,4,22,13,4,Safe Situation
30,41,19,0,0,11,31,10,6,23,15,5,Safe Situation
30,42,19,0,0,11,30,11,3,26,17,5,Safe Situation
30,43,20,0,0,10,34,6,5,25,15,4,Safe Situation
30,44,17,0,0,13,29,14,10,17,13,4,Asked Before
30,45,19,0,0,11,40,1,12,17,19,4,Safe Situation
30,46,18,0,0,12,29,13,3,25,13,4,Safe Situation
30,47,20,0,0,10,40,0,11,19,13,4,Safe Situation
30,48,21,0,0,9,39,0,7,24,15,5,Safe Situation
30,49,19,0,0,11,38,3,12,17,11,4,Safe Situation
