size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
50,0,28,0,0,22,30,2,3,15,21,5,Safe Situation
50,1,31,0,0,19,24,5,0,21,13,4,Safe Situation
50,2,31,0,0,19,27,2,3,18,15,4,Safe Situation
50,3,34,0,0,16,24,2,0,24,17,5,Safe Situation
50,4,30,0,0,20,27,3,0,20,21,5,Safe Situation
50,5,31,0,0,19,29,0,2,19,23,5,Safe Situation
50,6,29,0,0,21,29,2,0,19,17,5,Safe Situation
50,7,28,0,0,22,29,3,1,17,17,5,Safe Situation
50,8,30,0,0,20,25,5,6,14,23,5,Safe Situation
50,9,33,0,0,17,23,4,4,19,21,5,Safe Situation
50,10,34,0,0,16,22,4,9,15,21,5,Safe Situation
50,11,26,0,0,24,34,0,4,12,21,5,Safe Situation
50,12,23,0,0,27,35,2,0,13,17,5,Safe Situation
50,13,35,0,0,15,22,3,7,18,21,5,Safety Critical Decision
50,14,29,0,0,21,26,5,3,16,23,5,Safe Situation
50,15,31,0,0,19,28,1,4,17,23,5,Safe Situation
50,16,27,0,0,23,31,2,5,12,21,5,Safe Situation
50,17,33,0,0,17,23,4,1,22,17,5,Safe Situation
50,18,29,0,0,21,27,4,0,19,17,5,Safe Situation
50,19,27,0,0,23,31,2,1,16,19,5,Safe Situation
50,20,31,0,0,19,29,0,5,16,21,5,Safe Situation
50,21,30,0,0,20,28,2,0,20,17,5,Safe Situation
50,22,28,0,0,22,32,0,0,18,23,5,Safe Situation
50,23,30,0,0,20,30,0,2,18,23,5,Safe Situation
50,24,31,0,0,19,26,3,4,17,13,5,Safe Situation
50,25,33,0,0,17,25,2,3,20,21,5,Safe Situation
50,26,35,0,0,15,25,0,3,22,21,5,Safe Situation
50,27,32,0,0,18,27,1,6,16,23,5,Safe Situation
50,28,28,0,0,22,28,4,6,12,19,5,Safe Situation
50,29,30,0,0,20,26,4,5,15,21,5,Safe Situation
50,30,33,0,0,17,25,2,0,23,17,5,Safe Situation
50,31,29,0,0,21,29,2,4,15,11,5,Safe Situation
50,32,30,0,0,20,30,0,5,15,23,5,Safe Situation
50,33,28,0,0,22,27,5,0,18,13,4,Safe Situation
50,34,30,0,0,20,27,3,4,16,23,5,Safety Critical Decision
50,35,32,0,0,18,23,5,2,20,17,5,Safe Situation
50,36,28,0,0,22,31,1,4,14,21,5,Safe Situation
50,37,33,0,0,17,22,5,6,17,21,5,Safe Situation
50,38,33,0,0,17,27,0,5,18,21,5,Safe Situation
50,39,29,0,0,21,28,3,1,18,17,5,Safe Situation
50,40,34,0,0,16,26,0,6,18,19,4,Safe Situation
50,41,32,0,0,18,28,0,0,22,23,5,Safe Situation
50,42,30,0,0,20,27,3,7,13,11,4,Safe Situation
50,43,26,0,0,24,32,2,0,16,17,5,Safe Situation
50,44,32,0,0,18,24,4,1,21,17,5,Safe Situation
50,45,27,0,0,23,31,2,0,17,17,5,Safe Situation
50,46,32,0,0,18,23,5,4,18,19,5,Safe Situation
50,47,31,0,0,19,26,3,1,20,17,5,Safe Situation
50,48,27,0,0,23,33,0,0,17,23,5,Safe Situation
50,49,30,0,0,20,27,3,1,19,17,5,Safe Situation
