size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
10,0,7,0,0,3,51,2,21,16,9,4,Safe Situation
10,1,8,0,0,2,44,8,8,30,7,3,Safe Situation
10,2,4,0,0,6,40,16,4,30,3,1,Safe Situation
10,3,6,0,0,4,52,2,14,22,5,2,Safety Critical Decision
10,4,5,0,0,5,50,5,4,31,7,3,Safe Situation
10,5,7,0,0,3,51,2,14,23,5,2,Safe Situation
10,6,8,0,0,2,41,11,29,9,5,2,Familiar Situation
10,7,6,0,0,4,39,15,17,19,17,4,Safe Situation
10,8,5,0,0,5,39,16,4,31,3,1,Safe Situation
10,9,9,0,0,1,45,6,20,19,5,2,Safe Situation
10,10,6,0,0,4,44,10,15,21,7,3,Safe Situation
10,11,7,0,0,3,37,16,4,33,3,1,Safe Situation
10,12,5,0,0,5,40,15,10,25,11,3,Safe Situation
10,13,5,0,0,5,46,9,14,21,7,3,Familiar Situation
10,14,5,0,0,5,50,5,18,17,5,2,Familiar Situation
10,15,5,0,0,5,50,5,4,31,7,3,Safe Situation
10,16,3,0,0,7,43,14,18,15,7,3,Familiar Situation
10,17,4,0,0,6,43,13,15,19,13,5,Safety Critical Decision
10,18,8,0,0,2,42,10,24,14,5,2,Safe Situation
10,19,7,0,0,3,48,5,4,33,7,3,Safe Situation
10,20,7,0,0,3,51,2,14,23,5,2,Safe Situation
10,21,6,0,0,4,46,8,8,28,7,3,Safe Situation
10,22,6,0,0,4,44,10,12,24,9,4,Safe Situation
10,23,5,0,0,5,38,17,15,20,7,3,Asked Before
10,24,4,0,0,6,40,16,4,30,3,1,Safe Situation
10,25,5,0,0,5,33,22,3,32,7,3,Safe Situation
10,26,5,0,0,5,44,11,7,28,7,3,Safe Situation
10,27,5,0,0,5,35,20,11,24,11,3,Familiar Situation
10,28,5,0,0,5,40,15,20,15,7,3,Long Delay
10,29,3,0,0,7,37,20,0,33,7,3,Safe Situation
10,30,7,0,0,3,34,19,17,20,7,3,In a hurry
10,31,6,0,0,4,49,5,4,32,7,3,Safe Situation
10,32,7,0,0,3,44,9,20,17,5,2,Safe Situation
10,33,7,0,0,3,48,5,18,19,5,2,Safe Situation
10,34,5,0,0,5,39,16,4,31,3,1,Safe Situation
10,35,4,0,0,6,33,23,3,31,7,3,Safe Situation
10,36,7,0,0,3,37,16,4,33,3,1,Safe Situation
10,37,5,0,0,5,30,25,3,32,7,3,Safe Situation
10,38,7,0,0,3,43,10,10,27,7,3,Safe Situation
10,39,4,0,0,6,40,16,4,30,3,1,Safe Situation
10,40,7,0,0,3,44,9,20,17,5,2,Safe Situation
10,41,6,0,0,4,45,9,11,25,11,5,Safe Situation
10,42,4,0,0,6,45,11,12,22,7,3,Safe Situation
10,43,9,0,0,1,49,2,14,25,5,2,Safe Situation
10,44,6,0,0,4,37,17,8,28,11,3,Familiar Situation
10,45,7,0,0,3,45,8,27,10,5,2,Familiar Situation
10,46,6,0,0,4,44,10,10,26,7,3,Safe Situation
10,47,4,0,0,6,45,11,7,27,7,3,Safe Situation
10,48,5,0,0,5,40,15,10,25,9,4,Safe Situation
10,49,5,0,0,5,46,9,20,15,5,2,Safe Situation
