size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
70,0,45,0,0,25,14,1,1,14,23,5,Safe Situation
70,1,41,0,0,29,19,0,0,11,23,5,Safe Situation
70,2,46,0,0,24,13,1,2,14,23,5,Safe Situation
70,3,41,0,0,29,19,0,0,11,23,5,Safe Situation
70,4,44,0,0,26,16,0,2,12,23,5,Safe Situation
70,5,40,0,0,30,18,2,2,8,23,5,Safe Situation
70,6,44,0,0,26,16,0,2,12,23,5,Safe Situation
70,7,43,0,0,27,17,0,0,13,23,5,Safe Situation
70,8,39,0,0,31,21,0,1,8,25,6,Safe Situation
70,9,42,0,0,28,16,2,0,12,17,5,Safe Situation
70,10,45,0,0,25,14,1,4,11,23,5,Safe Situation
70,11,39,0,0,31,21,0,0,9,23,5,Safe Situation
70,12,44,0,0,26,16,0,0,14,17,4,Safe Situation
70,13,37,0,0,33,23,0,0,7,23,5,Safe Situation
70,14,45,0,0,25,15,0,0,15,23,5,Safe Situation
70,15,39,0,0,31,20,1,1,8,25,6,Safe Situation
70,16,42,0,0,28,18,0,0,12,23,5,Safe Situation
70,17,43,0,0,27,15,2,1,12,23,5,Safe Situation
70,18,43,0,0,27,17,0,3,10,23,5,Safe Situation
70,19,43,0,0,27,15,2,0,13,17,5,Safe Situation
70,20,37,0,0,33,23,0,0,7,23,5,Safe Situation
70,21,40,0,0,30,18,2,0,10,17,5,Safe Situation
70,22,44,0,0,26,16,0,0,14,23,5,Safe Situation
70,23,39,0,0,31,20,1,1,8,23,5,Safe Situation
70,24,44,0,0,26,16,0,4,10,21,5,Safe Situation
70,25,46,0,0,24,14,0,0,16,25,6,Safe Situation
70,26,45,0,0,25,15,0,0,15,23,5,Safe Situation
70,27,43,0,0,27,17,0,0,13,23,5,Safe Situation
70,28,41,0,0,29,19,0,1,10,25,6,Safe Situation
70,29,43,0,0,27,16,1,2,11,23,5,Safe Situation
70,30,44,0,0,26,16,0,0,14,23,5,Safe Situation
70,31,45,0,0,25,15,0,2,13,23,5,Safe Situation
70,32,40,0,0,30,17,3,0,10,19,5,Safe Situation
70,33,42,0,0,28,18,0,4,8,21,5,Safe Situation
70,34,41,0,0,29,18,1,3,8,23,5,Safe Situation
70,35,43,0,0,27,15,2,0,13,17,5,Safe Situation
70,36,39,0,0,31,19,2,0,9,17,5,Safe Situation
70,37,43,0,0,27,17,0,0,13,23,5,Safe Situation
70,38,39,0,0,31,18,3,2,7,21,5,Safe Situation
70,39,47,0,0,23,10,3,0,17,19,5,Safe Situation
70,40,46,0,0,24,14,0,1,15,25,6,Safe Situation
70,41,40,0,0,30,20,0,0,10,25,6,Safe Situation
70,42,42,0,0,28,18,0,2,10,23,5,Safe Situation
70,43,40,0,0,30,18,2,0,10,23,5,Safe Situation
70,44,39,0,0,31,21,0,0,9,23,5,Safe Situation
70,45,42,0,0,28,18,0,0,12,23,5,Safe Situation
70,46,40,0,0,30,20,0,0,10,23,5,Safe Situation
70,47,44,0,0,26,16,0,1,13,25,6,Safe Situation
70,48,42,0,0,28,18,0,0,12,23,5,Safe Situation
70,49,40,0,0,30,20,0,2,8,23,5,Safe Situation
